VPASSガイド 様,4980-XXXX-XXXX-1234,,SMBCCARDクラシック☆,,,,,,,
2026/3/2,SEIYU,3820,1,1,3820,,,,,
2026/3/3,ENEOS,5780,1,1,5780,,,,,
2026/3/3,MOBILE SUICA,3110,1,1,3110,,,,,
2026/3/3,TOWNKAI,500,1,1,500,,,,,
2026/3/4,OISIX,4470,1,1,4470,,,,,
2026/3/4,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/3/5,DAZN*7F3A21,4200,1,1,4200,,,,,
2026/3/6,AMAZON.CO.JP,12160,1,1,12160,,,,,
2026/3/7,MATSUMOTO KIYOSHI,960,1,1,960,,,,,
2026/3/8,JCOM KUMIN,6600,1,1,6600,,,,,
2026/3/10,AMAZON.CO.JP,11200,1,1,11200,,,,,
2026/3/10,JR EAST,420,1,1,420,,,,,
2026/3/11,OISIX,4620,1,1,4620,,,,,
2026/3/12,NETFLIX.COM,1490,1,1,1490,,,,,
2026/3/12,TIMES PARKING,1930,1,1,1930,,,,,
2026/3/14,STARBUCKS,690,1,1,690,,,,,
2026/3/15,APPLE.COM/BILL,450,1,1,450,,,,,
2026/3/16,SAIZERIYA,1720,1,1,1720,,,,,
2026/3/17,YOKOHAMA WATERWORKS,4620,1,1,4620,,,,,
2026/3/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/3/18,OISIX,7350,1,1,7350,,,,,
2026/3/18,SEVEN-ELEVEN,1470,1,1,1470,,,,,
2026/3/19,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/3/19,SEIYU,2940,1,1,2940,,,,,
2026/3/20,JR EAST,1960,1,1,1960,,,,,
2026/3/21,RAKUTEN CARD,88000,1,1,88000,,,,,
2026/3/22,NTT EAST,4950,1,1,4950,,,,,
2026/3/23,LAWSON,520,1,1,520,,,,,
2026/3/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/3/25,SEIYU,5640,1,1,5640,,,,,
2026/3/25,YOSHINOYA,1070,1,1,1070,,,,,
2026/3/26,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/3/26,NTT DOCOMO,5942,1,1,5942,,,,,
2026/3/26,TEPCO,8421,1,1,8421,,,,,
2026/3/27,HIROSHIMA CABLE TV,19800,1,1,19800,,,,,
2026/3/28,TOKYO GAS CO LTD,5124,1,1,5124,,,,,
2026/4/1,SEIYU,2920,1,1,2920,,,,,
2026/4/2,MOBILE SUICA,9120,1,1,9120,,,,,
2026/4/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/4/3,TOWNKAI,500,1,1,500,,,,,
2026/4/4,DAZN*7F3A21,4200,1,1,4200,,,,,
2026/4/4,OISIX,5480,1,1,5480,,,,,
2026/4/5,BIC CAMERA,66000,3,1,22000,,,,,
2026/4/6,LAWSON,1000,1,1,1000,,,,,
2026/4/7,JR EAST,1630,1,1,1630,,,,,
2026/4/8,JCOM KUMIN,6600,1,1,6600,,,,,
2026/4/9,AMAZON.CO.JP,5580,1,1,5580,,,,,
2026/4/9,GMO*ONAMAE.COM,1408,1,1,1408,,,,,
2026/4/11,APPLE.COM/BILL,1200,1,1,1200,,,,,
2026/4/11,ENEOS,5190,1,1,5190,,,,,
2026/4/12,OISIX,7080,1,1,7080,,,,,
2026/4/13,NETFLIX.COM,1490,1,1,1490,,,,,
2026/4/14,STARBUCKS,1480,1,1,1480,,,,,
2026/4/15,APPLE.COM/BILL,450,1,1,450,,,,,
2026/4/16,JR EAST,2270,1,1,2270,,,,,
2026/4/16,SUSHIRO,2670,1,1,2670,,,,,
2026/4/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/4/18,OISIX,5700,1,1,5700,,,,,
2026/4/19,JR EAST,1290,1,1,1290,,,,,
2026/4/20,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/4/20,SAIZERIYA,3200,1,1,3200,,,,,
2026/4/21,RAKUTEN CARD,88000,1,1,88000,,,,,
2026/4/23,NTT EAST,4950,1,1,4950,,,,,
2026/4/24,NTT DOCOMO,6188,1,1,6188,,,,,
2026/4/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/4/25,OISIX,5810,1,1,5810,,,,,
2026/4/26,TEPCO,7316,1,1,7316,,,,,
2026/4/27,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/4/28,FAMILY MART,400,1,1,400,,,,,
2026/4/28,TOKYO GAS CO LTD,4688,1,1,4688,,,,,
2026/4/5,BIC CAMERA,66000,3,2,22000,,,,,
2026/5/1,MATSUMOTO KIYOSHI,4610,1,1,4610,,,,,
2026/5/3,TOWNKAI,500,1,1,500,,,,,
2026/5/4,DAZN*7F3A21,4200,1,1,4200,,,,,
2026/5/4,OISIX,5110,1,1,5110,,,,,
2026/5/4,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/5/5,SEIYU,4690,1,1,4690,,,,,
2026/5/6,SEIYU,6020,1,1,6020,,,,,
2026/5/8,AMAZON.CO.JP,7410,1,1,7410,,,,,
2026/5/9,U-NEXT,2189,1,1,2189,,,,,
2026/5/9,JCOM KUMIN,6600,1,1,6600,,,,,
2026/5/11,OISIX,5530,1,1,5530,,,,,
2026/5/12,NETFLIX.COM,1490,1,1,1490,,,,,
2026/5/14,AMAZON.CO.JP,5900,1,1,5900,,,,,
2026/5/15,APPLE.COM/BILL,450,1,1,450,,,,,
2026/5/15,LAWSON,1270,1,1,1270,,,,,
2026/5/16,SAIZERIYA,1930,1,1,1930,,,,,
2026/5/17,YOKOHAMA WATERWORKS,4890,1,1,4890,,,,,
2026/5/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/5/18,OISIX,7220,1,1,7220,,,,,
2026/5/19,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/5/20,AMAZON.CO.JP,10630,1,1,10630,,,,,
2026/5/22,MATSUMOTO KIYOSHI,3830,1,1,3830,,,,,
2026/5/23,MOBILE SUICA,7320,1,1,7320,,,,,
2026/5/23,NTT EAST,4950,1,1,4950,,,,,
2026/5/23,RAKUTEN CARD,88000,1,1,88000,,,,,
2026/5/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/5/25,AMAZON.CO.JP,7290,1,1,7290,,,,,
2026/5/25,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/5/25,NTT DOCOMO,5764,1,1,5764,,,,,
2026/5/26,ENEOS,7760,1,1,7760,,,,,
2026/5/26,TEPCO,6294,1,1,6294,,,,,
2026/5/28,TOKYO GAS CO LTD,3917,1,1,3917,,,,,
2026/4/5,BIC CAMERA,66000,3,3,22000,,,,,
2026/6/2,AMAZON.CO.JP,10520,1,1,10520,,,,,
2026/6/3,MOBILE SUICA,8290,1,1,8290,,,,,
2026/6/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/6/3,TOWNKAI,500,1,1,500,,,,,
2026/6/4,DAZN*7F3A21,4200,1,1,4200,,,,,
2026/6/4,OISIX,7260,1,1,7260,,,,,
2026/6/7,AEON STYLE,6490,1,1,6490,,,,,
2026/6/9,JCOM KUMIN,6600,1,1,6600,,,,,
2026/6/9,U-NEXT,2189,1,1,2189,,,,,
2026/6/11,OISIX,7140,1,1,7140,,,,,
2026/6/12,MATSUMOTO KIYOSHI,2360,1,1,2360,,,,,
2026/6/13,NETFLIX.COM,1490,1,1,1490,,,,,
2026/6/14,APA HOTEL,12800,1,1,12800,,,,,
2026/6/15,APPLE.COM/BILL,450,1,1,450,,,,,
2026/6/15,SEIYU,7160,1,1,7160,,,,,
2026/6/16,YOSHINOYA,950,1,1,950,,,,,
2026/6/18,AMAZON.CO.JP,7070,1,1,7070,,,,,
2026/6/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/6/18,OISIX,5620,1,1,5620,,,,,
2026/6/19,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/6/19,AMAZON.CO.JP,-3980,1,1,-3980,,,,,返品
