VPASSガイド 様,4980-XXXX-XXXX-1234,,SMBCCARDクラシック☆,,,,,,,
2026/3/3,ENEOS,5780,1,1,5780,,,,,
2026/3/3,MOBILE SUICA,3110,1,1,3110,,,,,
2026/3/3,RAKUTEN ICHIBA,2310,1,1,2310,,,,,
2026/3/3,RAKUTEN ICHIBA,4630,1,1,4630,,,,,
2026/3/3,SAIZERIYA,2930,1,1,2930,,,,,
2026/3/4,OISIX,4470,1,1,4470,,,,,
2026/3/4,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/3/6,AMAZON.CO.JP,12160,1,1,12160,,,,,
2026/3/7,AMAZON.CO.JP,9770,1,1,9770,,,,,
2026/3/7,MATSUMOTO KIYOSHI,960,1,1,960,,,,,
2026/3/10,AMAZON.CO.JP,11200,1,1,11200,,,,,
2026/3/10,JR EAST,420,1,1,420,,,,,
2026/3/11,OISIX,4620,1,1,4620,,,,,
2026/3/12,NETFLIX.COM,1590,1,1,1590,,,,,
2026/3/12,TIMES PARKING,1930,1,1,1930,,,,,
2026/3/14,STARBUCKS,690,1,1,690,,,,,
2026/3/16,SAIZERIYA,1720,1,1,1720,,,,,
2026/3/16,TIMES PARKING,1130,1,1,1130,,,,,
2026/3/17,YOKOHAMA WATERWORKS,4620,1,1,4620,,,,,
2026/3/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/3/18,OISIX,7350,1,1,7350,,,,,
2026/3/18,RAKUTEN ICHIBA,5110,1,1,5110,,,,,
2026/3/18,SEVEN-ELEVEN,1470,1,1,1470,,,,,
2026/3/19,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/3/19,SEIYU,2820,1,1,2820,,,,,
2026/3/19,SEIYU,2940,1,1,2940,,,,,
2026/3/20,JR EAST,1960,1,1,1960,,,,,
2026/3/21,JR TOKAI,13920,1,1,13920,,,,,
2026/3/22,NTT EAST,4950,1,1,4950,,,,,
2026/3/23,LAWSON,520,1,1,520,,,,,
2026/3/23,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/3/25,SEIYU,5640,1,1,5640,,,,,
2026/3/25,YOSHINOYA,1070,1,1,1070,,,,,
2026/3/26,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/3/26,NTT DOCOMO,5942,1,1,5942,,,,,
2026/3/26,TEPCO,8421,1,1,8421,,,,,
2026/3/28,TOKYO GAS CO LTD,5124,1,1,5124,,,,,
2026/4/1,SEIYU,2920,1,1,2920,,,,,
2026/4/2,MOBILE SUICA,9120,1,1,9120,,,,,
2026/4/3,MATSUMOTO KIYOSHI,1770,1,1,1770,,,,,
2026/4/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/4/4,OISIX,5480,1,1,5480,,,,,
2026/4/5,BIC CAMERA,66000,3,1,22000,,,,,
2026/4/6,LAWSON,1000,1,1,1000,,,,,
2026/4/7,JR EAST,1630,1,1,1630,,,,,
2026/4/9,AMAZON.CO.JP,5580,1,1,5580,,,,,
2026/4/9,GMO*ONAMAE.COM,1408,1,1,1408,,,,,
2026/4/11,APPLE.COM/BILL,1200,1,1,1200,,,,,
2026/4/11,ENEOS,5190,1,1,5190,,,,,
2026/4/11,OISIX,7080,1,1,7080,,,,,
2026/4/13,NETFLIX.COM,1590,1,1,1590,,,,,
2026/4/14,STARBUCKS,1480,1,1,1480,,,,,
2026/4/15,YOSHINOYA,800,1,1,800,,,,,
2026/4/16,JR EAST,2270,1,1,2270,,,,,
2026/4/16,STARBUCKS,990,1,1,990,,,,,
2026/4/16,SUSHIRO,2670,1,1,2670,,,,,
2026/4/17,APPLE.COM/BILL,150,1,1,150,,,,,
2026/4/17,YOSHINOYA,880,1,1,880,,,,,
2026/4/18,AEON STYLE,7260,1,1,7260,,,,,
2026/4/18,OISIX,5700,1,1,5700,,,,,
2026/4/19,JR EAST,1290,1,1,1290,,,,,
2026/4/20,AMAZON.CO.JP,1300,1,1,1300,,,,,
2026/4/20,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/4/20,SAIZERIYA,3200,1,1,3200,,,,,
2026/4/22,YOSHINOYA,890,1,1,890,,,,,
2026/4/23,NTT EAST,4950,1,1,4950,,,,,
2026/4/24,NTT DOCOMO,6188,1,1,6188,,,,,
2026/4/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/4/25,LAWSON,770,1,1,770,,,,,
2026/4/25,OISIX,5810,1,1,5810,,,,,
2026/4/26,TEPCO,7316,1,1,7316,,,,,
2026/4/27,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/4/28,FAMILY MART,400,1,1,400,,,,,
2026/4/28,SUSHIRO,1560,1,1,1560,,,,,
2026/4/28,TOKYO GAS CO LTD,4688,1,1,4688,,,,,
2026/4/5,BIC CAMERA,66000,3,2,22000,,,,,
2026/5/1,JR EAST,2220,1,1,2220,,,,,
2026/5/1,MATSUMOTO KIYOSHI,4610,1,1,4610,,,,,
2026/5/3,FAMILY MART,1210,1,1,1210,,,,,
2026/5/4,LIFE,6630,1,1,6630,,,,,
2026/5/4,OISIX,5110,1,1,5110,,,,,
2026/5/4,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/5/5,SEIYU,4690,1,1,4690,,,,,
2026/5/5,STARBUCKS,1070,1,1,1070,,,,,
2026/5/6,SEIYU,6020,1,1,6020,,,,,
2026/5/8,AMAZON.CO.JP,7410,1,1,7410,,,,,
2026/5/9,U-NEXT,2189,1,1,2189,,,,,
2026/5/10,AMAZON.CO.JP,12790,1,1,12790,,,,,
2026/5/11,OISIX,5530,1,1,5530,,,,,
2026/5/11,SEVEN-ELEVEN,1290,1,1,1290,,,,,
2026/5/12,NETFLIX.COM,1590,1,1,1590,,,,,
2026/5/14,AMAZON.CO.JP,5900,1,1,5900,,,,,
2026/5/14,SEVEN-ELEVEN,1600,1,1,1600,,,,,
2026/5/15,LAWSON,1270,1,1,1270,,,,,
2026/5/15,MATSUMOTO KIYOSHI,1400,1,1,1400,,,,,
2026/5/15,TIMES PARKING,700,1,1,700,,,,,
2026/5/16,SAIZERIYA,1930,1,1,1930,,,,,
2026/5/17,MATSUMOTO KIYOSHI,1790,1,1,1790,,,,,
2026/5/17,YOKOHAMA WATERWORKS,4890,1,1,4890,,,,,
2026/5/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/5/18,LAWSON,1540,1,1,1540,,,,,
2026/5/18,OISIX,7220,1,1,7220,,,,,
2026/5/18,RAKUTEN ICHIBA,3390,1,1,3390,,,,,
2026/5/19,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/5/20,AMAZON.CO.JP,10630,1,1,10630,,,,,
2026/5/22,MATSUMOTO KIYOSHI,3830,1,1,3830,,,,,
2026/5/23,LAWSON,320,1,1,320,,,,,
2026/5/23,MATSUMOTO KIYOSHI,3760,1,1,3760,,,,,
2026/5/23,MOBILE SUICA,7320,1,1,7320,,,,,
2026/5/23,NTT EAST,4950,1,1,4950,,,,,
2026/5/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/5/25,AMAZON.CO.JP,7290,1,1,7290,,,,,
2026/5/25,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/5/25,NTT DOCOMO,5764,1,1,5764,,,,,
2026/5/25,SUSHIRO,4680,1,1,4680,,,,,
2026/5/26,ENEOS,7760,1,1,7760,,,,,
2026/5/26,TEPCO,6294,1,1,6294,,,,,
2026/5/28,TOKYO GAS CO LTD,3917,1,1,3917,,,,,
2026/4/5,BIC CAMERA,66000,3,3,22000,,,,,
2026/6/2,AMAZON.CO.JP,10520,1,1,10520,,,,,
2026/6/2,MOBILE SUICA,5280,1,1,5280,,,,,
2026/6/3,AEON STYLE,7640,1,1,7640,,,,,
2026/6/3,MOBILE SUICA,8290,1,1,8290,,,,,
2026/6/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/6/3,TIMES PARKING,2190,1,1,2190,,,,,
2026/6/4,OISIX,7260,1,1,7260,,,,,
2026/6/6,LIFE,2430,1,1,2430,,,,,
2026/6/7,AEON STYLE,6490,1,1,6490,,,,,
2026/6/9,FAMILY MART,870,1,1,870,,,,,
2026/6/9,U-NEXT,2189,1,1,2189,,,,,
2026/6/10,LIFE,3460,1,1,3460,,,,,
2026/6/11,OISIX,7140,1,1,7140,,,,,
2026/6/11,RAKUTEN ICHIBA,9870,1,1,9870,,,,,
2026/6/12,MATSUMOTO KIYOSHI,2360,1,1,2360,,,,,
2026/6/13,NETFLIX.COM,1590,1,1,1590,,,,,
2026/6/14,APA HOTEL,12800,1,1,12800,,,,,
2026/6/15,SEIYU,7160,1,1,7160,,,,,
2026/6/16,MOBILE SUICA,4400,1,1,4400,,,,,
2026/6/16,YOSHINOYA,950,1,1,950,,,,,
2026/6/18,AMAZON.CO.JP,7070,1,1,7070,,,,,
2026/6/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/6/18,OISIX,5620,1,1,5620,,,,,
2026/6/18,SAIZERIYA,3140,1,1,3140,,,,,
2026/6/19,AMAZON.CO.JP,-3980,1,1,-3980,,,,,返品
2026/6/19,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/6/19,YOSHINOYA,650,1,1,650,,,,,
2026/6/21,JR EAST,1860,1,1,1860,,,,,
2026/6/22,SEVEN-ELEVEN,740,1,1,740,,,,,
2026/6/22,STARBUCKS,570,1,1,570,,,,,
2026/6/23,JR EAST,670,1,1,670,,,,,
2026/6/23,LAWSON,1700,1,1,1700,,,,,
2026/6/23,NTT EAST,4950,1,1,4950,,,,,
2026/6/24,AEON STYLE,5760,1,1,5760,,,,,
2026/6/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/6/25,NTT DOCOMO,6331,1,1,6331,,,,,
2026/6/25,OISIX,4430,1,1,4430,,,,,
2026/6/27,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/6/27,TIMES PARKING,2220,1,1,2220,,,,,
2026/6/28,SEIYU,2660,1,1,2660,,,,,
2026/6/28,TEPCO,6811,1,1,6811,,,,,
2026/6/28,TOKYO GAS CO LTD,3552,1,1,3552,,,,,
2026/7/1,LIFE,4740,1,1,4740,,,,,
2026/7/1,STARBUCKS,1440,1,1,1440,,,,,
2026/7/2,YOSHINOYA,1150,1,1,1150,,,,,
2026/7/3,LIFE,5270,1,1,5270,,,,,
2026/7/3,SPOTIFY P0C8A7,1080,1,1,1080,,,,,
2026/7/4,OISIX,7120,1,1,7120,,,,,
2026/7/6,MICROSOFT*MICROSOFT 365,21300,1,1,21300,,,,,
2026/7/7,LAWSON,1430,1,1,1430,,,,,
2026/7/7,RAKUTEN ICHIBA,2830,1,1,2830,,,,,
2026/7/8,MOBILE SUICA,6110,1,1,6110,,,,,
2026/7/8,RAKUTEN ICHIBA,1350,1,1,1350,,,,,
2026/7/9,U-NEXT,2189,1,1,2189,,,,,
2026/7/11,OISIX,5650,1,1,5650,,,,,
2026/7/12,ENEOS,6580,1,1,6580,,,,,
2026/7/12,NETFLIX.COM,1590,1,1,1590,,,,,
2026/7/12,TIMES PARKING,1910,1,1,1910,,,,,
2026/7/13,SEIYU,3260,1,1,3260,,,,,
2026/7/16,MATSUMOTO KIYOSHI,2830,1,1,2830,,,,,
2026/7/17,SAIZERIYA,960,1,1,960,,,,,
2026/7/17,YOKOHAMA WATERWORKS,5110,1,1,5110,,,,,
2026/7/18,APPLE.COM/BILL,150,1,1,150,,,,,
2026/7/18,OISIX,7370,1,1,7370,,,,,
2026/7/20,AMAZON.CO.JP,11780,1,1,11780,,,,,
2026/7/21,ANYTIME FITNESS,8140,1,1,8140,,,,,
2026/7/23,MATSUMOTO KIYOSHI,4580,1,1,4580,,,,,
2026/7/23,MOBILE SUICA,8070,1,1,8070,,,,,
2026/7/23,NTT EAST,4950,1,1,4950,,,,,
2026/7/24,MOBILE SUICA,8050,1,1,8050,,,,,
2026/7/24,SOMPO JAPAN,4230,1,1,4230,,,,,
2026/7/25,NIHON KEIZAI SHIMBUN,4800,1,1,4800,,,,,
2026/7/25,NTT DOCOMO,6017,1,1,6017,,,,,
2026/7/25,SEIYU,5390,1,1,5390,,,,,
2026/7/26,AMAZON.CO.JP,8950,1,1,8950,,,,,
